,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,fixture,goals_conceded,minutes
914,2016-17,Joshua King,FWD,121,4,1,Arsenal,31773,2,54,FALSE,13,19.6,16.6,4,357,3013,121,3,90
917,2016-17,Kelechi Iheanacho,FWD,122,0,3,Burnley,137733,0,67,FALSE,13,0,0,0,5220,16352,122,0,0
927,2016-17,Lys Mousset,FWD,121,0.3,1,Arsenal,2307,1,52,FALSE,13,0.1,0,6,41,77,121,1,10
937,2016-17,Matej Vydra,FWD,130,0,14,Stoke,15614,0,45,TRUE,13,0,0,0,10,282,130,0,0
943,2016-17,Michail Antonio,FWD,127,2.7,11,Man Utd,390018,2,68,FALSE,13,11.1,13,3,22679,15387,127,1,90
944,2016-17,Michy Batshuayi,FWD,123,0,17,Spurs,42528,0,85,TRUE,13,0,0,0,74,866,123,0,0
956,2016-17,Odion Ighalo,FWD,130,2.9,14,Stoke,145232,1,70,TRUE,13,10.6,0,20,948,7496,130,0,35
959,2016-17,Oliver McBurnie,FWD,129,0,5,Crystal Palace,3724,0,45,TRUE,13,0,0,0,114,171,129,0,0
960,2016-17,Olivier Giroud,FWD,121,5.4,2,Bournemouth,109856,4,89,TRUE,13,21.4,15.8,17,50360,2845,121,0,15
962,2016-17,Patrick Bamford,FWD,122,0,10,Man City,2025,0,50,TRUE,13,0,0,0,57,146,122,0,0
973,2016-17,Roberto Firmino,FWD,126,11,15,Sunderland,789349,3,88,TRUE,13,30.6,22,57,86518,11824,126,0,86
976,2016-17,Romelu Lukaku,FWD,128,2.2,13,Southampton,1376610,1,98,FALSE,13,14.4,0.4,7,20838,124232,128,1,90
982,2016-17,Salomón Rondón,FWD,124,5,7,Hull,248174,2,66,FALSE,13,28.1,5.4,16,62839,6368,124,1,90
987,2016-17,Sergio Agüero,FWD,122,21.1,3,Burnley,1805351,12,131,FALSE,13,15.1,69.2,127,8556,139645,122,1,88
