,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,goals_conceded,minutes,goals_conceded_per_game,points_per_game,total_minutes
83,2016-17,Connor Wickham,FWD,22,0.17094017094017094,2,Bournemouth,34011,2,59,True,3,0.1226890756302521,0.0049261083743842365,0.16901408450704225,3383,9683,1,65,1.0,2.0,181
84,2016-17,Danny Ings,FWD,27,0.0,17,Spurs,16244,0,58,False,3,0.0,0.0,0.0,404,5571,0,0,0.0,0.0,0
85,2016-17,Danny Welbeck,FWD,28,0.0,18,Watford,2881,0,75,False,3,0.0,0.0,0.0,112,572,0,0,0.0,0.0,0
86,2016-17,Divock Origi,FWD,27,0.0,17,Spurs,124579,1,68,False,3,0.0016806722689075631,0.0,0.0,2136,70210,1,22,0.0,1.0,42
87,2016-17,Oliver McBurnie,FWD,39,0.0,4,Chelsea,2530,0,45,True,4,0.0,0.0,0.0,2272,769,0,0,0.0,1.0,5
88,2016-17,Matej Vydra,FWD,38,0.0,20,West Ham,24618,0,45,False,4,0.0,0.0,0.0,642,6661,0,0,0.0,1.0,0
89,2016-17,Michail Antonio,FWD,38,0.7075098814229248,18,Watford,257148,13,70,True,4,0.07633587786259542,0.6634615384615384,0.7737226277372263,113160,18482,4,90,1.5584415584415583,9.0,235
90,2016-17,Michy Batshuayi,FWD,39,0.0,16,Swansea,91745,1,90,False,4,0.0,0.0,0.0,9938,22246,0,3,0.0,3.6666666666666665,35
91,2016-17,Odion Ighalo,FWD,38,0.5533596837944664,20,West Ham,195814,11,73,False,4,0.44274809160305345,0.5134615384615384,0.45985401459854014,3516,39517,2,68,2.076923076923077,1.6666666666666667,262
92,2016-17,Lys Mousset,FWD,32,0.0,19,West Brom,2097,0,54,True,4,0.0,0.0,0.0,90,348,0,0,0.0,0.0,0
93,2016-17,Olivier Giroud,FWD,31,0.11462450592885375,13,Southampton,64944,4,90,True,4,0.2156488549618321,0.019230769230769232,0.11678832116788321,23172,9945,0,29,0.0,1.0,0
94,2016-17,Joshua King,FWD,32,0.1739130434782609,19,West Brom,33660,3,55,True,4,0.06106870229007634,0.15,0.18248175182481752,16781,9462,0,73,1.6666666666666667,4.333333333333333,270
95,2016-17,Roberto Firmino,FWD,34,0.7312252964426877,8,Leicester,265116,15,84,True,4,1.0,0.801923076923077,0.35766423357664234,12675,46637,1,90,2.0,3.0,271
96,2016-17,Romelu Lukaku,FWD,40,1.0,15,Sunderland,347076,17,90,False,4,0.23473282442748095,1.0,1.0,143212,29224,0,88,0.0,1.5,0
97,2016-17,Salomón Rondón,FWD,32,0.011857707509881422,2,Bournemouth,143184,1,65,False,4,0.011450381679389313,0.0038461538461538464,0.014598540145985401,20821,24941,1,28,0.6666666666666666,4.0,271
98,2016-17,Sergio Agüero,FWD,35,0.0,11,Man Utd,1015145,0,130,False,4,0.0,0.0,0.0,32042,984971,0,0,1.0424710424710424,8.0,259
99,2016-17,Shane Long,FWD,31,0.233201581027668,1,Arsenal,298512,1,63,False,4,0.03053435114503817,0.04038461538461539,0.38686131386861317,4753,96812,1,45,1.9047619047619047,1.6666666666666667,190
100,2016-17,Troy Deeney,FWD,38,0.2411067193675889,20,West Ham,119399,6,69,False,4,0.09923664122137406,0.3346153846153846,0.15328467153284672,4311,23574,2,77,2.0,2.3333333333333335,272
101,2016-17,Kelechi Iheanacho,FWD,35,0.4822134387351778,11,Man Utd,70176,10,69,False,4,0.5877862595419847,0.48653846153846153,0.29927007299270075,27275,12213,1,52,0.0,2.5,20
